Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Зеленодольск,Региональный,2019,165,58,35.15,89.3
Лениногорск,Муниципальный,2015,,0,,71.77
Балтаси,Муниципальный,2023,34,11,32.35,70.78
Елабуга,Региональный,2019.0,,0,ошибка,85.97
Альметьевск,Заключительный,2023,17,7,41.18,72.86
Балтаси,Школьный,2020,,0,,50.81
Зеленодольск,Региональный,2018,58,16,27.59,44.23
Буинск,Муниципальный,2019,126,53,42.06,44.53
Кукмор,Региональный,2022,,0,,42.03
Альметьевск,Муниципальный,2023,13,1,ошибка,50.89
Тетюши,Муниципальный,2017,89,38,42.7,60.02
Буинск,Школьный,2015.0,103,23,22.33,88.37
Буинск,Школьный,2018,153,25,ошибка,63.5
Альметьевск,Муниципальный,2020,125,30,24.0,42.09
Буинск,Региональный,2019,198,63,31.82,99.61
Бугульма,Заключительный,2019,167,26,15.57,57.27
Азнакаево,Муниципальный,2015,30,14,46.67,80.8
Агрыз,Школьный,2023,154,64,41.56,42.23
Бавлы,Региональный,2017,50,19,38.0,46.33
Менделеевск,Школьный,2015,106,46,43.4,60.75
Бавлы,Региональный,2021,182,79,43.41,79.51
Азнакаево,Региональный,2024,,0,,87.56
Зеленодольск,Заключительный,2023,55,20,36.36,
Мамадыш,Муниципальный,2018,50,6,12.0,64.53
Менделеевск,Заключительный,2020,,0,,76.91
Набережные Челны,Муниципальный,2019,177,14,7.91,82.72
Тетюши,Школьный,2021,112,20,17.86,41.2
Заинск,Муниципальный,2024,18,5,27.78,45.74
Азнакаево,Региональный,2020,183,82,44.81,80.09
Агрыз,Школьный,2018,,0,,81.78
Альметьевск,Школьный,2019,118,48,40.68,42.99
Азнакаево,Заключительный,2021,,0,,92.65
Лениногорск,Региональный,2018,100,18,18.0,54.03
Зеленодольск,Школьный,2020,,0,,47.85
Зеленодольск,Школьный,2023,93,ошибка,ошибка,61.49
Буинск,Региональный,2020,143,64,ошибка,98.76
Чистополь,Заключительный,2024,63,8,ошибка,75.82
Мамадыш,Школьный,2021,ошибка,0,,42.04
Бугульма,Региональный,2016,128,,,49.31
Азнакаево,Муниципальный,2017,175,39,22.29,40.05
Менделеевск,Региональный,2016.0,110,24,21.82,46.48
Заинск,Региональный,2015.0,88,44,50.0,58.02
Зеленодольск,Муниципальный,2019,151,26,17.22,58.27
Бавлы,Муниципальный,2018,48,18,37.5,95.82
Чистополь,Муниципальный,2023,57,26,45.61,83.25
Набережные Челны,Муниципальный,2017.0,65,16,ошибка,61.61
Елабуга,Заключительный,2016,41,13,31.71,
Бугульма,Заключительный,2016,,0,ошибка,70.35
Елабуга,Региональный,2016,60,25,41.67,40.85
Бугульма,Региональный,2018.0,62,,ошибка,61.25
Чистополь,Муниципальный,2021,97,8,8.25,98.15
Мамадыш,Муниципальный,2019,,0,,94.13
Бугульма,Школьный,2020.0,100,37,ошибка,97.9
Набережные Челны,Региональный,2017,,0,ошибка,48.48
Тетюши,Школьный,2020,64,4,6.25,64.14
Бавлы,Заключительный,2022,164,33,20.12,65.07
Бугульма,Региональный,2024,158,27,17.09,78.08
Мамадыш,Школьный,2018,66,23,34.85,87.54
Менделеевск,Региональный,2020,118,5,4.24,64.79
Агрыз,Региональный,2023,77,29,37.66,80.41
Балтаси,Региональный,2019,122,26,21.31,53.48
Балтаси,Заключительный,2018,,0,ошибка,67.19
Балтаси,Муниципальный,2020,121,22,18.18,46.45
Азнакаево,Школьный,2021,72,1,ошибка,88.79
Арск,Школьный,2019,77,8,ошибка,46.96
Чистополь,Муниципальный,2015,,0,,52.94
Бугульма,Региональный,2015,174,3,1.72,45.77
Мамадыш,Школьный,2019.0,,0,,84.07
Арск,Школьный,2019,,,,
Заинск,Региональный,2018,29,3,10.34,85.59
Мамадыш,Школьный,2018,,0,,64.93
Зеленодольск,Региональный,2019,139,5,3.6,91.57
Елабуга,Заключительный,2016,60,15,25.0,59.26
Балтаси,Школьный,2017,24,4,16.67,53.22
Тетюши,Региональный,2017,130,1,0.77,59.87
Менделеевск,Муниципальный,2019,38,7,18.42,46.9
Альметьевск,Муниципальный,2022,144,60,ошибка,61.55
Набережные Челны,Заключительный,2016,110,30,27.27,96.79
Азнакаево,Школьный,2024,168,54,32.14,68.52
Набережные Челны,Муниципальный,2015,182,69,37.91,44.39
Менделеевск,Муниципальный,2023,,0,ошибка,97.01
Мамадыш,Региональный,2019,13,6,46.15,
Арск,Заключительный,2017,140,39,27.86,56.33
Тетюши,Региональный,2015,82,,ошибка,
Заинск,Муниципальный,2019,105,9,8.57,
Набережные Челны,Заключительный,2024,96,31,32.29,70.45
Бугульма,Муниципальный,2018,62,29,46.77,61.73
Агрыз,Заключительный,2015,76,10,13.16,53.28
Бугульма,Заключительный,2019,16,0,,90.48
Казань,Заключительный,2015,44,8,18.18,ошибка
Мамадыш,Региональный,2023,159,20,12.58,59.54
Азнакаево,Муниципальный,2021,,0,,49.89
Набережные Челны,Заключительный,2016,97,23,23.71,89.36
Кукмор,Региональный,2017,141,9,ошибка,
Менделеевск,Школьный,2017,108,38,ошибка,71.57
Тетюши,Школьный,2016,124,27,21.77,50.84
Агрыз,Школьный,2015,102,34,ошибка,95.91
Мамадыш,Региональный,2022,29,0,,84.73
Кукмор,Школьный,2020,,0,,99.16
Заинск,Школьный,2020,11,5,ошибка,60.54
Елабуга,Муниципальный,2020,38,13,34.21,68.2
Кукмор,Школьный,2024,80,26,32.5,61.72
Тетюши,Заключительный,2023,,0,,95.44
Мамадыш,Региональный,2015,43,3,6.98,45.13
Менделеевск,Школьный,2019,10,1,ошибка,90.28
Бугульма,Региональный,2015,125,57,45.6,55.28
Казань,Региональный,2018,151,71,47.02,89.54
Мамадыш,Муниципальный,2021,38,10,26.32,92.41
Зеленодольск,Муниципальный,2017,100,46,46.0,57.27
Кукмор,Школьный,2018,20,5,ошибка,84.55
Бугульма,Региональный,2016,94,23,24.47,57.95
Тетюши,Муниципальный,2019,195,6,3.08,84.82
Бавлы,Школьный,2023,162,54,33.33,
Лениногорск,Муниципальный,2017,120,16,13.33,
Буинск,Региональный,2021,171,80,46.78,54.71
Апастово,Региональный,2017,ошибка,0,,44.59
Арск,Заключительный,2018,,,,-1
Бугульма,Региональный,2018,72,10,ошибка,64.77
Апастово,Муниципальный,2022,59,5,8.47,88.16
Чистополь,Муниципальный,2019,130,39,ошибка,54.06
Кукмор,Региональный,2024,56,16,28.57,49.75
Бугульма,Муниципальный,2019,49,8,16.33,68.28
Мамадыш,Региональный,2019,175,77,44.0,81.59
Кукмор,Региональный,2022,76,37,ошибка,60.93
Чистополь,Школьный,2015,86,4,4.65,81.72
Буинск,Школьный,2023,37,4,10.81,85.93
Тетюши,Школьный,2016,61,16,26.23,
Буинск,Региональный,2023,175,22,12.57,67.93
Агрыз,Заключительный,2015,26,5,19.23,90.94
Бавлы,Региональный,2022,188,8,ошибка,50.25
Апастово,Муниципальный,2019.0,52,9,17.31,
Кукмор,Региональный,2019,123,,,44.66
Азнакаево,Муниципальный,2016,53,,,61.37
